fingerprint, ipaddr, port
02B2152129686AE0BE05F3D1460591DD71C4BB15, 89.58.60.208, 9001
02B2152129686AE0BE05F3D1460591DD71C4BB15, 2a0a:4cc0:1:2e8:430:d0ff:fe16:af4f, 9001
02D634ADD9B41677D2834BF2C5203B6833DE7380, 178.170.10.39, 9001
02D634ADD9B41677D2834BF2C5203B6833DE7380, 2a00:c70:130:1::529, 9001
02E23FE80AB92EE262B95F9526944A547FE856E3, 179.61.251.251, 666
02E23FE80AB92EE262B95F9526944A547FE856E3, 2a0f:5707:aaf1:a03::1, 666
02FCF62C0AD3AD1D208D7F27E12E8840EF53C7E0, 45.141.215.97, 7430
03167E156F3D1E8FFD1CB7C7C9D086027DA49E3D, 94.72.118.123, 6666
031C40EC2C8C861740DC845F5E8888368CE5FA56, 93.95.225.141, 9001
034ED155E6DA8277BC7F294896BFD7013D7BD7B0, 77.91.86.95, 443
034ED155E6DA8277BC7F294896BFD7013D7BD7B0, 2a0e:d602:2:2a2::2, 443
035F813195F0CB9F567EDFDF60C6745CA36BA0BD, 107.189.8.226, 9000
035F813195F0CB9F567EDFDF60C6745CA36BA0BD, 2605:6400:30:f805:1e96:b223:fbe5:cfac, 9000
036EFD2E61DEA3D2FEE59861BA4245E4DE864112, 193.189.100.202, 443
036EFD2E61DEA3D2FEE59861BA4245E4DE864112, 2a0f:df00:0:255::202, 443
0371E4EC901C4FC77FEA2AA5BE4218F0BE1F6CE3, 209.58.180.236, 9001
037BCD0EBDF7DB9F3D562DA27D463F0F78F1494B, 37.120.171.188, 443
037BCD0EBDF7DB9F3D562DA27D463F0F78F1494B, 2a03:4000:6:543b::443, 443
037FF23B7D09A6044AA30B0AEA134FFEBC9A231A, 185.220.101.78, 9000
037FF23B7D09A6044AA30B0AEA134FFEBC9A231A, 2a0b:f4c2:3::78, 9000
0387FC64EFFD7FF584B818A790362B3EECF8BBA5, 94.103.124.107, 9200
0387FC64EFFD7FF584B818A790362B3EECF8BBA5, 2a05:b0c7:6841::1, 9200
038B2A774C859796FC11D26DB7F16494708F7749, 185.243.218.89, 8443
038B2A774C859796FC11D26DB7F16494708F7749, 2a03:94e0:ffff:185:243:218:0:89, 8443
038C30D2AD053147C91EFB1291527ED621D7D1B1, 82.221.131.71, 443
03A2ECF52CFA74E0DBFF823E0CDFC799CDB72F0E, 45.61.184.47, 443
03A3FD57D603CD943128115E5AEBE20A4EEA984C, 88.216.223.2, 143
03A3FD57D603CD943128115E5AEBE20A4EEA984C, 2a0e:97c0:0:1::1, 143
03A564E4C2B984F9C885AAABB4A8E27277675B02, 69.46.9.122, 443
03B29BA87FC61A4CE624DBF36387D85761F816E7, 143.179.150.5, 9001
03B9585A46122C21774B3096664A8A2140BF5635, 89.58.55.205, 9001
03BAAC87560E85B282A94FA69128E00438663511, 46.148.26.44, 9001
03BD56B5072FB07D2B4D79E2FB04366D415EF3EC, 163.172.76.56, 9001
03BE73E581F99EFFF19AB582EF0C7E8E6531CEDA, 85.215.91.150, 9001
03C794401A92F2F033AD5DFB2FC005D445910654, 185.163.45.212, 443
03CB58CC506894147FFABAF43F6A84C52BDFCECA, 185.104.194.129, 443
03D1EF3EF2BE5145150C58ACC72519DD860E61BA, 136.243.3.194, 8000
03D1EF3EF2BE5145150C58ACC72519DD860E61BA, 2a01:4f8:211:1d41::2, 8000
03F26766F14B0B7B5D22461083807D313429A34F, 5.196.71.24, 9001
03F26766F14B0B7B5D22461083807D313429A34F, 2001:41d0:e:418::1, 9001
04045B9662E1629B3681B1F8F96E96F1A6373B80, 146.19.168.223, 9200
04045B9662E1629B3681B1F8F96E96F1A6373B80, 2a04:ecc0:8:a8:4567:152:0:1, 9200
040D6001435CDAA8D3DAE2EE51CF2F48C4530E76, 177.104.142.225, 443
04102613D8F998E956A7868D2DE5A532EE2473EA, 207.244.78.230, 443
042944E139508E6A8495AA1F6F320D1087D84930, 80.67.172.162, 4443
