fingerprint, ipaddr, port
0387FC64EFFD7FF584B818A790362B3EECF8BBA5, 2a05:b0c7:6841::1, 9200
038B2A774C859796FC11D26DB7F16494708F7749, 185.243.218.89, 8443
038B2A774C859796FC11D26DB7F16494708F7749, 2a03:94e0:ffff:185:243:218:0:89, 8443
038C30D2AD053147C91EFB1291527ED621D7D1B1, 82.221.131.71, 443
03A2ECF52CFA74E0DBFF823E0CDFC799CDB72F0E, 45.61.184.47, 443
03A564E4C2B984F9C885AAABB4A8E27277675B02, 69.46.9.122, 443
03CCD8C021B75030122B48E5665A86E199EC989C, 109.70.100.6, 9000
03CCD8C021B75030122B48E5665A86E199EC989C, 2a03:e600:100::6, 9000
0403BD88235C49F4C0672F213912FCB3A2B93DCC, 192.42.116.217, 9003
0403BD88235C49F4C0672F213912FCB3A2B93DCC, 2001:67c:6ec:203:192:42:116:217, 9003
041646640AB306EA74B001966E86169B04CC88D2, 204.8.96.79, 443
041646640AB306EA74B001966E86169B04CC88D2, 2620:7:6001::ffff:c759:e64f, 80
042944E139508E6A8495AA1F6F320D1087D84930, 80.67.172.162, 4443
042944E139508E6A8495AA1F6F320D1087D84930, 2001:910:1400:107::2, 4443
044428D910C037932A0763BB089769943F6BA648, 198.251.84.163, 443
044428D910C037932A0763BB089769943F6BA648, 2605:6400:30:f174:1:2:3:4, 443
04749CD6A6BE1C0B14EE63DFD0F13EEB9EFEE8AB, 185.220.101.51, 10051
04749CD6A6BE1C0B14EE63DFD0F13EEB9EFEE8AB, 2a0b:f4c2:2::51, 10051
0485027A0A349D454D978F6C1CECDD29EA17769A, 192.42.116.17, 443
0485027A0A349D454D978F6C1CECDD29EA17769A, 2001:67c:6ec:203:218:33ff:fe44:5517, 443
04D50494BD2E4B3913489062303442BC9D5CC0C7, 192.42.116.199, 9002
04D50494BD2E4B3913489062303442BC9D5CC0C7, 2001:67c:6ec:203:192:42:116:199, 9002
050A1245EEC76B7438337BAAF19F4AB0666B375F, 185.220.101.15, 9001
050A1245EEC76B7438337BAAF19F4AB0666B375F, 2a0b:f4c2::15, 9001
0516085D6CAC40ED4CDCEFDFC5CCF6B00DE61DED, 185.195.71.9, 443
052848D49E213DE9F85C8721E138DAABA2DE08C8, 45.9.150.130, 9001
055E80BB136455C323FA75B99480E6E9680F39D5, 178.175.131.141, 6564
05DD02B8B23881A4B627F6E9AF32735EE7C09181, 185.220.101.185, 10185
05DD02B8B23881A4B627F6E9AF32735EE7C09181, 2a0b:f4c2:1::185, 20185
05E15FF6930D656BB85744263D556657280D822E, 51.195.166.174, 443
05EA20BE14D0AC4F3D69DECF20F15A2E28353C0A, 185.220.101.142, 10142
05EA20BE14D0AC4F3D69DECF20F15A2E28353C0A, 2a0b:f4c2:1::142, 10142
05EA56935F2740BDEDC6C67DF1D839A410E547A3, 185.220.101.183, 10183
05EA56935F2740BDEDC6C67DF1D839A410E547A3, 2a0b:f4c2:1::183, 10183
0620C528138F289BBE25BF78EE25794B265D8143, 192.42.116.182, 9004
0620C528138F289BBE25BF78EE25794B265D8143, 2001:67c:6ec:203:192:42:116:182, 9004
0625BCA64F30EC2E1AC1C5021E651074257C2908, 192.42.116.187, 9000
0625BCA64F30EC2E1AC1C5021E651074257C2908, 2001:67c:6ec:203:192:42:116:187, 9000
