fingerprint, ipaddr, port
013878270CDA8EC3D5BB4D4251410E6E8C7764AC, 93.231.120.17, 9001
0138DDE95A04DF80DAF96111C93051BBBB6BF0A2, 185.220.101.153, 10153
0138DDE95A04DF80DAF96111C93051BBBB6BF0A2, 2a0b:f4c2:1::153, 10153
013ABAED8F4CDB677BE0B5212E4B2583B86035EE, 45.129.182.225, 443
013ABAED8F4CDB677BE0B5212E4B2583B86035EE, 2a03:4000:47:631:a437:b1ff:fe5c:74a2, 443
013AD81926572519EBCB7048E78462B5E9F1319D, 37.114.35.73, 9001
014326416058DCFD0965167026CBEF647409A000, 5.42.66.6, 443
0145977CF1D2D4AAF98907BF81DAAD8480EFC3FD, 78.142.18.219, 444
0147F80CD71BACAFAE92FCBCF48D8D1B6661B82C, 88.150.105.253, 9001
014BD09636373B78CC28BA70E36C7190E3DE236A, 5.57.240.135, 993
014EE24BCBDA160F236B2547A4639B27E303A1E7, 20.224.145.181, 443
0165267F20391424CE5AEA316A7C6372C0EEF198, 51.89.153.112, 9001
0165267F20391424CE5AEA316A7C6372C0EEF198, 2001:41d0:800:1f70::, 9001
016EF8E22BEEA81F30535974EC31B6943697CA8B, 5.135.182.131, 9001
016EF8E22BEEA81F30535974EC31B6943697CA8B, 2001:41d0:8:bd83::1, 9001
016F1C83981BF2BEE449A3EA760E1DE2380C01EB, 88.216.223.2, 25
016F1C83981BF2BEE449A3EA760E1DE2380C01EB, 2a0e:97c0:0:1::1, 25
017B08CC163424CD6ABA4ADD4042B4174D494732, 185.21.217.32, 10042
01870F782E458F124563328DB57EB82F4475BDE0, 87.79.83.246, 9001
01900B2CF00B459C08063028593FB6AA8ABB79E8, 144.217.32.158, 9001
019DCBA50AF7E2800A24F6FF8C54FA0147C26E15, 89.163.152.213, 6969
019DCBA50AF7E2800A24F6FF8C54FA0147C26E15, 2001:4ba0:cafe:6af::1, 6969
019FEB22CE04CBD0489B7F24BE038518B64FA223, 142.44.243.133, 9001
019FEB22CE04CBD0489B7F24BE038518B64FA223, 2607:5300:201:3100::3e59, 9002
01AAA4B45E15FC891DFD50F7EC934D9D614C713C, 195.90.211.36, 853
01B8F18C11CE2877E8190FA2C81808CD087515C0, 89.58.34.53, 9001
01B8F18C11CE2877E8190FA2C81808CD087515C0, 2a03:4000:64:fe8:c853:14ff:fe86:7a3d, 9001
01C8FA176EB673DFBCEC6E355B78574D6CDC111A, 146.19.143.113, 443
01C8FA176EB673DFBCEC6E355B78574D6CDC111A, 2a10:1fc0:1::c0a:270f, 443
01D28453A4906AB5CC97B974B56413B75922B894, 135.148.103.15, 8443
01F6015DB6C684651047FAA36465BEB3AE335CAD, 135.148.27.19, 80
01F6015DB6C684651047FAA36465BEB3AE335CAD, 2604:2dc0:101:200::1f45, 80
01F648AFD7FCC68E7917F42CF3533CC5D3A93DF1, 171.25.193.78, 444
01F648AFD7FCC68E7917F42CF3533CC5D3A93DF1, 2001:67c:289c:4::78, 444
01F92D627F69BC403792D31C9368A5AEA5C97853, 209.141.62.71, 443
01FF9C8571D1C09FA8D2ACCE727D5530FEC10038, 92.42.14.204, 9001
01FF9C8571D1C09FA8D2ACCE727D5530FEC10038, 2a00:ab00:435:a:dead:defe:ca8d:beef, 9001
021296AB765B9808EA81C3FAD3E19B0CC080603A, 144.76.43.199, 9001
02264CEE8E7D062A910747A7F5D13B16766076D6, 138.197.92.159, 443
02264CEE8E7D062A910747A7F5D13B16766076D6, 2604:a880:800:10::70b:8001, 443
